timestamp,localized,red,ir
1684206052952,2023-05-15T20:00:52.952(UTC-07:00),28507,303432
1684206052971,2023-05-15T20:00:52.971(UTC-07:00),28509,303435
1684206052991,2023-05-15T20:00:52.991(UTC-07:00),28511,303437
1684206053010,2023-05-15T20:00:53.010(UTC-07:00),28513,303440
1684206053029,2023-05-15T20:00:53.029(UTC-07:00),28514,303443
1684206053048,2023-05-15T20:00:53.048(UTC-07:00),28515,303446
1684206053067,2023-05-15T20:00:53.067(UTC-07:00),28517,303451
1684206053087,2023-05-15T20:00:53.087(UTC-07:00),28518,303455
1684206053106,2023-05-15T20:00:53.106(UTC-07:00),28519,303459
1684206053125,2023-05-15T20:00:53.125(UTC-07:00),28520,303461
1684206053144,2023-05-15T20:00:53.144(UTC-07:00),28520,303462
1684206053164,2023-05-15T20:00:53.164(UTC-07:00),28521,303461
1684206053183,2023-05-15T20:00:53.183(UTC-07:00),28520,303458
1684206053202,2023-05-15T20:00:53.202(UTC-07:00),28518,303452
1684206053221,2023-05-15T20:00:53.221(UTC-07:00),28516,303445
1684206053240,2023-05-15T20:00:53.240(UTC-07:00),28512,303437
1684206053260,2023-05-15T20:00:53.260(UTC-07:00),28509,303430
1684206053279,2023-05-15T20:00:53.279(UTC-07:00),28506,303423
1684206053298,2023-05-15T20:00:53.298(UTC-07:00),28503,303417
1684206053317,2023-05-15T20:00:53.317(UTC-07:00),28502,303413
1684206053337,2023-05-15T20:00:53.337(UTC-07:00),28501,303410
1684206053356,2023-05-15T20:00:53.356(UTC-07:00),28500,303410
1684206053375,2023-05-15T20:00:53.375(UTC-07:00),28500,303410
1684206053394,2023-05-15T20:00:53.394(UTC-07:00),28501,303411
1684206053413,2023-05-15T20:00:53.413(UTC-07:00),28501,303412
1684206053433,2023-05-15T20:00:53.433(UTC-07:00),28501,303413
1684206053452,2023-05-15T20:00:53.452(UTC-07:00),28501,303414
1684206053471,2023-05-15T20:00:53.471(UTC-07:00),28501,303414
1684206053490,2023-05-15T20:00:53.490(UTC-07:00),28501,303414
1684206053510,2023-05-15T20:00:53.510(UTC-07:00),28501,303414
1684206053530,2023-05-15T20:00:53.530(UTC-07:00),28501,303415
1684206053550,2023-05-15T20:00:53.550(UTC-07:00),28501,303415
1684206053570,2023-05-15T20:00:53.570(UTC-07:00),28501,303416
1684206053590,2023-05-15T20:00:53.590(UTC-07:00),28502,303417
1684206053610,2023-05-15T20:00:53.610(UTC-07:00),28503,303418
1684206053630,2023-05-15T20:00:53.630(UTC-07:00),28504,303420
1684206053651,2023-05-15T20:00:53.651(UTC-07:00),28506,303422
1684206053671,2023-05-15T20:00:53.671(UTC-07:00),28507,303424
1684206053691,2023-05-15T20:00:53.691(UTC-07:00),28509,303427
1684206053711,2023-05-15T20:00:53.711(UTC-07:00),28509,303431
1684206053731,2023-05-15T20:00:53.731(UTC-07:00),28510,303435
1684206053751,2023-05-15T20:00:53.751(UTC-07:00),28511,303438
1684206053772,2023-05-15T20:00:53.772(UTC-07:00),28512,303441
1684206053792,2023-05-15T20:00:53.792(UTC-07:00),28514,303444
1684206053812,2023-05-15T20:00:53.812(UTC-07:00),28515,303446
1684206053832,2023-05-15T20:00:53.832(UTC-07:00),28516,303449
1684206053852,2023-05-15T20:00:53.852(UTC-07:00),28518,303452
1684206053872,2023-05-15T20:00:53.872(UTC-07:00),28520,303455
